"","caseid","V1","V2","V3","V4","V5","V6","V7"
"279","20160111151676","53","01","Full time","01","350","0","150"
"280","20160111151680","33","01","Full time","01","465","0","165"
"281","20160111151690","57","02","Full time","01","480","0","175"
"282","20160111151739","64","02","Full time","01","390","0","0"
"283","20160111151776","50","02","Full time","02","540","0","240"
"284","20160111151783","30","01","Full time","01","360","0","125"
"285","20160111151790","72","01","Part time","01","540","0","340"
"286","20160111151797","59","02","No answer","01","515","0","290"
"287","20160111151799","85","01","No answer","02","480","0","570"
"288","20160111151813","46","02","Full time","01","690","0","382"
"289","20160111151814","47","02","Part time","01","150","0","335"
"290","20160111151840","62","01","Full time","01","580","0","168"
"291","20160111151852","58","02","No answer","02","790","0","360"
"292","20160111151855","50","02","No answer","01","510","0","330"
"293","20160111151865","64","02","Full time","01","510","0","750"
"294","20160111151887","71","01","No answer","01","600","0","419"
"295","20160111151898","49","01","Full time","01","420","0","82"
"296","20160111151899","50","01","Full time","01","315","0","115"
"297","20160111151902","64","01","Part time","01","240","0","800"
"298","20160111151911","40","02","No answer","01","420","0","100"
"299","20160111151914","21","02","Part time","01","610","0","90"
"300","20160111151916","30","01","No answer","01","420","0","151"
"301","20160111151922","62","01","Full time","01","510","0","25"
"302","20160111151925","56","02","Part time","01","1404","0","23"
"303","20160111151928","49","02","Full time","01","390","0","485"
"304","20160111151940","62","01","No answer","01","540","0","544"
"305","20160111151970","69","01","No answer","02","584","0","372"
"306","20160111151973","46","01","Full time","01","510","0","130"
"307","20160111151979","61","02","No answer","01","480","0","830"
"308","20160111151993","61","02","No answer","01","510","0","150"
"309","20160111152007","68","01","No answer","01","450","0","475"
"310","20160111152030","57","02","Part time","01","805","0","430"
"311","20160111152044","78","01","No answer","02","480","0","250"
"312","20160111152046","28","01","No answer","02","180","0","0"
"313","20160111152075","40","01","Full time","01","500","0","210"
"314","20160111152097","41","02","Full time","01","780","0","530"
"315","20160111152110","48","02","Full time","01","669","0","170"
"316","20160111152131","58","02","Full time","01","390","0","175"
"317","20160111152145","65","01","No answer","02","690","0","595"
"318","20160111152156","48","01","Full time","01","630","0","120"
"319","20160111152157","56","01","Full time","02","510","0","370"
"320","20160111152186","44","01","Full time","01","435","0","260"
"321","20160111152224","64","02","No answer","01","510","0","440"
